k id,k x,k y,k z,k accel,k steer,k steer angle,k speed,k max speed,k boost,k brake,k nitro,b x,b y,b z,b not moving,closest k x,closest k y,closest k z,blue t goal,red t goal,ball aim x,ball aim y,ball aim z
1.000000,-0.006248,0.268982,27.725731,1.000000,0.000061,0.103487,12.884183,14.250001,0.000000,0.000000,0.000000,0.004125,0.411888,-0.035641,1.000000,-0.006169,0.268982,-28.605457,1.000000,0.000000,0.004227,0.411888,1.554294
0.000000,-0.006169,0.268982,-28.605457,1.000000,0.000000,0.103487,12.884231,14.250001,1.000000,0.000000,0.000000,0.004125,0.411888,-0.035641,1.000000,-0.006251,0.269026,27.832756,1.000000,0.000000,0.004125,0.411888,-2.563534
1.000000,-0.006638,0.271802,33.884949,1.000000,0.000366,0.107633,11.795238,14.250001,0.000000,0.000000,0.000000,0.004125,0.702910,-0.035641,1.000000,-0.006206,0.271802,-34.764698,1.000000,0.000000,0.004227,0.702910,1.554294
0.000000,-0.006206,0.271802,-34.764698,1.000000,-0.000031,0.107632,11.795289,14.250001,1.000000,0.000000,0.000000,0.004125,0.702910,-0.035641,1.000000,-0.006652,0.271852,33.982899,1.000000,0.000000,0.004125,0.702910,-2.563534
1.000000,-0.008331,0.274976,39.466373,1.000000,0.001495,0.112300,10.569116,14.250001,0.000000,0.000000,0.000000,0.004125,1.359245,-0.035641,1.000000,-0.006376,0.274976,-40.346138,1.000000,0.000000,0.004227,1.359245,1.554294
0.000000,-0.006376,0.274976,-40.346138,1.000000,-0.000092,0.112300,10.569176,14.250001,1.000000,0.000000,0.000000,0.004125,1.359245,-0.035641,1.000000,-0.008386,0.275032,39.554104,1.000000,0.000000,0.004125,1.359245,-2.563534
1.000000,-0.014992,0.279342,44.361336,1.000000,0.001312,0.146226,8.935509,14.250001,0.000000,0.000000,0.000000,0.004125,1.675506,-0.035641,1.000000,-0.007030,0.279342,-45.241119,1.000000,0.000000,0.004227,1.675506,1.554294
0.000000,-0.007030,0.279342,-45.241119,1.000000,-0.000214,0.146224,8.935549,14.250001,1.000000,0.000000,0.000000,0.004125,1.675506,-0.035641,1.000000,-0.015184,0.279425,44.435390,1.000000,0.000000,0.004125,1.675506,-2.563534
1.000000,-0.029919,0.284596,48.314907,1.000000,0.007324,0.206717,6.907918,14.250001,0.000000,0.000000,0.000000,0.004125,1.744406,-0.035641,1.000000,-0.008514,0.284596,-49.194756,1.000000,0.000000,0.004227,1.744406,1.554294
0.000000,-0.008514,0.284596,-49.194756,1.000000,0.000214,0.206717,6.907944,14.250001,1.000000,0.000000,0.000000,0.004125,1.744406,-0.035641,1.000000,-0.030257,0.284692,48.372066,1.000000,0.000000,0.004125,1.744406,-2.563534
1.000000,-0.046878,0.292094,51.089642,1.000000,-0.008026,0.290632,4.095243,14.250001,0.000000,0.000000,0.000000,0.004125,5.442332,-0.035641,1.000000,-0.009786,0.292094,-51.969574,1.000000,0.000000,0.004227,5.442332,1.554294
